Frame,CPU_Time(ms),GPU_Time(ms)
0,38,98
1,34,22
2,38,19
3,34,18
4,54,18
5,36,18
6,53,18
7,32,18
8,57,19
9,38,18
10,60,18
11,37,18
12,56,19
13,44,18
14,52,19
15,43,18
16,54,18
17,33,17
18,41,19
19,54,19
20,32,18
21,57,19
22,32,18
23,45,20
24,32,20
25,71,20
26,32,18
27,33,18
28,38,18
29,54,18
30,32,18
31,40,18
32,53,18
33,32,18
34,39,18
35,34,18
36,36,18
37,37,18
38,34,18
39,43,18
40,34,18
41,34,18
42,58,19
43,33,19
44,40,17
45,33,19
46,40,18
47,36,19
48,37,19
49,38,18
50,37,18
51,35,19
52,37,19
53,36,18
54,37,18
55,35,19
56,36,18
57,55,18
58,33,18
59,55,18
60,32,18
61,40,18
62,32,18
63,41,18
64,32,18
65,40,18
66,36,18
67,37,18
68,35,18
69,34,18
70,39,18
71,32,18
72,43,18
73,32,19
74,36,19
75,36,18
76,58,18
77,32,18
78,36,18
79,39,18
80,35,18
81,32,18
82,57,18
83,32,18
84,36,18
85,37,19
86,36,18
87,34,18
88,42,19
89,32,18
90,59,18
91,32,18
92,40,18
93,34,18
94,40,18
95,37,18
96,39,18
97,32,18
98,41,18
99,34,19
100,39,18
101,35,19
102,56,18
103,40,18
104,54,18
105,32,18
106,53,19
107,32,19
108,39,19
109,34,18
110,57,18
111,31,18
112,39,17
113,36,17
114,36,18
115,57,18
116,32,18
117,36,18
118,36,17
119,37,18
120,56,18
121,33,19
122,36,19
123,36,17
124,34,18
125,58,18
126,32,17
127,40,17
128,33,17
129,57,18
130,32,17
131,39,17
132,37,19
133,34,18
134,39,18
135,37,19
136,37,18
