Frame, CPU_Time(ms), GPU_Time(ms)
0, 23, 0.241216
1, 24, 0.243072
2, 22, 0.246464
3, 22, 0.240352
4, 22, 0.244704
5, 22, 0.240288
6, 24, 0.239936
7, 22, 0.24
8, 22, 0.247136
9, 22, 0.24736
10, 23, 0.247648
11, 23, 0.244064
12, 23, 0.240448
13, 23, 0.247808
14, 23, 0.247648
15, 23, 0.246624
16, 23, 0.245024
17, 23, 0.246048
18, 23, 0.244672
19, 23, 0.244192
20, 23, 0.243712
21, 22, 0.245024
22, 23, 0.246688
23, 23, 0.240768
24, 22, 0.246208
25, 23, 0.24736
26, 23, 0.23952
27, 22, 0.242368
28, 22, 0.241216
29, 22, 0.240224
30, 22, 0.240864
31, 22, 0.241856
32, 22, 0.244384
33, 22, 0.23984
34, 22, 0.2464
35, 22, 0.239552
36, 23, 0.244288
37, 22, 0.243904
38, 23, 0.240928
39, 23, 0.240224
40, 23, 0.24064
41, 23, 0.240544
42, 22, 0.24112
43, 22, 0.24128
44, 22, 0.24
45, 22, 0.239616
46, 22, 0.239808
47, 24, 0.24656
48, 22, 0.24064
49, 22, 0.24608
50, 22, 0.243488
51, 22, 0.243712
52, 23, 0.240288
53, 22, 0.241312
54, 22, 0.240672
55, 22, 0.24768
56, 22, 0.239328
57, 22, 0.242048
58, 22, 0.246528
59, 22, 0.240992
60, 22, 0.240992
61, 22, 0.244352
62, 22, 0.243584
63, 22, 0.240064
64, 22, 0.2408
65, 22, 0.240832
66, 22, 0.243328
67, 22, 0.244608
68, 22, 0.241152
69, 22, 0.241824
70, 22, 0.240544
71, 22, 0.240928
72, 22, 0.239552
73, 22, 0.23984
74, 22, 0.24048
75, 22, 0.240896
76, 23, 0.240032
77, 22, 0.245056
78, 22, 0.241952
79, 25, 0.246336
80, 22, 0.240608
81, 22, 0.2408
82, 22, 0.24128
83, 22, 0.243488
84, 22, 0.2408
85, 22, 0.240672
86, 22, 0.243808
87, 22, 0.24208
88, 22, 0.239584
89, 22, 0.240736
90, 22, 0.240288
91, 22, 0.240064
92, 22, 0.239936
93, 22, 0.243584
94, 22, 0.240096
95, 22, 0.240704
96, 22, 0.240512
97, 22, 0.241728
98, 22, 0.246112
99, 22, 0.240416
100, 22, 0.241664
101, 22, 0.240512
102, 22, 0.240928
103, 22, 0.247712
104, 22, 0.240128
105, 22, 0.242368
106, 22, 0.240832
107, 22, 0.241216
108, 22, 0.243552
109, 22, 0.245152
110, 22, 0.240064
111, 22, 0.244128
112, 22, 0.24128
113, 22, 0.241088
114, 22, 0.2416
115, 22, 0.240544
116, 22, 0.239296
117, 22, 0.239616
118, 22, 0.240576
119, 22, 0.24096
120, 27, 0.240896
121, 22, 0.239808
122, 22, 0.241856
123, 22, 0.240384
124, 22, 0.246976
125, 22, 0.240288
126, 22, 0.247328
127, 22, 0.240544
128, 22, 0.247616
129, 22, 0.239904
130, 22, 0.24384
131, 22, 0.23952
132, 22, 0.240384
133, 22, 0.244256
134, 22, 0.239648
135, 22, 0.240832
136, 22, 0.24176
137, 22, 0.240224
138, 22, 0.24416
139, 22, 0.23952
140, 22, 0.239936
141, 22, 0.240736
142, 22, 0.23984
143, 22, 0.246176
144, 22, 0.240864
145, 22, 0.244768
146, 22, 0.241088
147, 22, 0.2432
148, 22, 0.239904
149, 22, 0.246464
150, 22, 0.240672
151, 22, 0.241888
152, 22, 0.244
153, 22, 0.241472
154, 22, 0.239872
155, 22, 0.238624
156, 22, 0.240736
157, 22, 0.242304
158, 22, 0.239936
159, 22, 0.240448
160, 22, 0.244288
161, 22, 0.239968
162, 22, 0.241024
163, 22, 0.2408
